Course Code,Course Name,Instructor,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
CSE112,Computer Organization,Naveen Prakash(G),Able to demonstrate basic computer organization and components of the computer. Role of system S/W's and CO. Design and Development of Reprogramable Computer.,Able to explain the  Design of the CPU:-  Instructions & its addressing modes; Floating point operations; design of ALU; data path; control unit; pipelining . RISC vs CISC & ARM architure and prog.,Able to compare performance of cache memory; compare caches with different configuration; virtual memory and its techniques . Interrupts and its implemenation with in the application.,Able to simulate and compare performance of cache memory; compare caches with different configulation,,,,
CSE121,Discrete Mathematics,Donghoon Chang,Able to read; interpret and write some basic mathematical notations. ,Able to recognize and to construct examples of mathematical objects introduced during the course such as the sets  and functions.,Able to several matematical models.,Able to develop the problem-solving skills.,,,,
CSE201,Advanced Programming,Vivek Kumar,Able to demonstrate understanding of Java by implementing relatively large programs.,Able to discuss object oriented paradigm.,Able to analyze the problem in terms of use cases and create object oriented design for it.  Able to present the design in UML or other related tools.,Able to apply pattern oriented program design and implement using design patterns.,Able to carry out unit testing and test driven development.,,,
HSS202,Perspectives of Knowledge,Raj Ayyar(V),Able to define and discuss the meta-issues concerning knowledge and critically reflect on them,Able to demonstrate knowledge of diverse traditions in epistemology,Able to explain specific arguments; methodologies; and approaches to questions of knowledge.,Able to explain the role of knowledge producers in information society.,,,,
HSS204,Introduction to Psychology,Akshay Kumar(V),Able to explain concepts of General Psychology,Able to explain and demonstrate the concepts of cognitive psychology.,Able to exlain the history and schools of Psychology.,Able to explain and share experiences on practice of mindfulness.,Able to demonstrate and explain therapies like Cognitive behavior Therapy practically use it.,,,
HSS211,Theatre Appreciation,Manohar Khushalani(V),Able to describe Biographies and Techniquesproposed by Theatre Masters.,Able to demonstrate their theatre communication skills,Able to put up a mime show,Able to perform a play.,,,,
HSS208,Theory & Practice of Engineering Ethics,Raj Ayyar(V),Able to demonstrate the knowledge of  the quarrel between literature and philosophy,Able to explain different philosophical theories of literature,Able to explain some of the intersections between philosophy and literature; including  philosophy and mythology; the problem of evil; theories of social justice; existentialist writing and more,Able to explain some of the more significant philosophical and literary texts that deal with the interface between philosophy and literature,,,,
MTH203,Maths-III,Sarthok Sircar,Able to apply concepts of continuity; differentiability; extrema and integrability of multivariable functions and evaluate various integrals (line; double; triple and surface integrals).,Able to work with vector fields; evaluate line and surface integrals; calculate quantities such as work; circulation and flux across plane curves and surfaces; be able to carry out vector derivative operations such as gradient; divergence and curl and understand and apply Green's; Stoke's and divergence  theorems.,Able to evaluate derivatives and integrals of complex functions; including the applications of Cauchy's theorem.,Able to determine convergence of complex series and power series and understand and apply Taylor series to represent complex functions.,,,,
ECE250,Signal & Systems,Anubha Gupta,Able to classify basic signal representation; continuous time and discrete-time signals,Able to determine the response of an LTI system to continuous-time or discrete-time input signals.,Able to represent both continuous-time and discrete-time periodic signals as Fourier series.,Able toanalyze continuous-time signals and systems using Fourier transform and Laplace transform.,Able to analyze discrete-time signals and systems using discrete-time Fourier transform and Z-transform.,,,
MTH2xx,Real Analysis I,Samaresh Chatterji(V),Students are familiar with the real number system; can determine convergence-divergence of sequences and series; and are able to construct epsilon-delta proofs related to limits and continuity.,Students are familiar with the concepts of differentiation and integration and are able to apply the methods of single-variable calculus.,Students are able to apply concepts of continuity; differentiability; extrema and integrability of multivariable functions and evaluate various integrals (line; double; triple and surface integrals).,,,,,
